Precipitation in hundredths of an inch.  ie.  45 = 0.45",  257 = 2.57" 
 Year  Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec. 
 2000 1196   1221    330    372    222     55     19      6     61    403    259    274
 2001  507    653    380    231     65     97     29     10     79    152   1147   1325
 2002  695    503    364    216    111     21      6      1      9      3    567   2398
 2003  678    352    653   1034    137      5     17     60     38     17    597   1452
 2004  700   1202    266    202    110     18     10     24     26    571    237   1116
 2005  621    339    758    493    611    215      6      1     14    167    820   2159
 2006 1152    630   1129    636    140     52      3     12      7     56    807    994
 2007  187   1069    180    298     91     33     51      9     34    537    222    829
 2008 1390    500    242    142     86     13      2     15      8    184    482    658
 2009  173    824    545     96    354    125      5     26     23    373    364    498
 2010 1230    597    580    821    297    132      7     10     71    668    551   1291
 2011  244    518   1411    334    270    175     26      3     18    391    412    160
 2012  863    314   1299    423     62    103     27      4      1    267    953   1445
 2013  234    125    330    219    147     99     12     38    248      9    166     83
 2014  128    913    877    173     67     25     15     19    210    460    486   1320
 2015  150    817    230    222     98     34     61     25     65     75    326   1571
 2016 1487    301   1212    242    129     67     17      1      4   1131    621    885
 2017 1581   1586    687    630     73     75      5     27     56    118    781    118
 2018  760    146    797    548    127     30     12      1     26    118    528    525
 2019  945   1721    684    355    401      6      1     49    156     92    194    901
 2020  766     48    274    170    370     44     16     29     22     28    336    476
 2021  781    484    374     70     20     58     10      3    125    760    349    947
 2022  200     40    188    484    143    127     32     10    136     19    434   1217
 2023 1317    508   1207    206    187     40      2     42    141    155    347    934
 2024 1335   1109    854    187    183     26      1     83     26    125   1290   1259
 2025  290   1119    837    173     67   9999   9999   9999   9999   9999   9999   9999
